iter	MAE
0	11.26157829
1	11.25977881
2	11.25900022
3	11.25697395
4	11.25475238
5	11.25329021
6	11.25234551
7	11.25036067
8	11.24898854
9	11.24807033
10	11.24576529
11	11.24457776
12	11.24385915
13	11.24251475
14	11.24129546
15	11.24011634
16	11.2388854
17	11.23615176
18	11.23402782
19	11.23273598
20	11.23069616
21	11.22956695
22	11.22857577
23	11.22762434
24	11.22677224
25	11.22518957
26	11.22412875
27	11.22365536
28	11.22261398
29	11.22180711
30	11.22041121
31	11.21962857
32	11.21754547
33	11.21579358
34	11.21420945
35	11.21270444
36	11.21177677
37	11.21076443
38	11.209707
39	11.20861395
40	11.20795626
41	11.20733819
42	11.20681639
43	11.20536255
44	11.20373504
45	11.20264196
46	11.20226563
47	11.20144543
48	11.20064846
49	11.19994217
50	11.19938271
51	11.19825214
52	11.19733315
53	11.19668711
54	11.19559227
55	11.19413037
56	11.19268816
57	11.19202959
58	11.19096661
59	11.19026702
60	11.18971647
61	11.18923423
62	11.18850425
63	11.18799738
64	11.18737481
65	11.18579056
66	11.18507352
67	11.18431873
68	11.18354109
69	11.18295331
70	11.18223869
71	11.18134058
72	11.1803723
73	11.17986407
74	11.17900862
75	11.17820656
76	11.17777313
77	11.17668365
78	11.17574994
79	11.17539327
80	11.17389857
81	11.17333156
82	11.17270662
83	11.17261295
84	11.17169688
85	11.17099172
86	11.1696077
87	11.16929985
88	11.16879159
89	11.16833901
90	11.16783711
91	11.16712094
92	11.16607657
93	11.16500421
94	11.16413157
95	11.1637431
96	11.16311427
97	11.16236337
98	11.16173386
99	11.16094078
100	11.16031777
101	11.15979139
102	11.15801354
103	11.15769529
104	11.15728842
105	11.15684115
106	11.15626683
107	11.155811
108	11.15557033
109	11.15450552
110	11.15409182
111	11.15329042
112	11.15294745
113	11.15150904
114	11.15025173
115	11.14962715
116	11.14853841
117	11.14751123
118	11.14738516
119	11.14707007
120	11.14666903
121	11.14621228
122	11.14546197
123	11.14485316
124	11.14379116
125	11.14352953
126	11.14283177
127	11.14166496
128	11.14080403
129	11.14043686
130	11.14012206
131	11.13925677
132	11.13854211
133	11.13792813
134	11.13726488
135	11.13705633
136	11.13605017
137	11.13564437
138	11.13526477
139	11.13471365
140	11.13342583
141	11.13312787
142	11.1326901
143	11.13213031
144	11.13170729
145	11.1313116
146	11.13091689
147	11.13014949
148	11.12990245
149	11.129552
150	11.12879959
151	11.1277499
152	11.12729182
153	11.12691747
154	11.12649002
155	11.12585311
156	11.12487887
157	11.1242882
158	11.12380022
159	11.1234227
160	11.12305807
161	11.12220417
162	11.12132094
163	11.12083147
164	11.12073709
165	11.11993971
166	11.11967262
167	11.11902226
168	11.11832683
169	11.11711605
170	11.11573696
171	11.11512308
172	11.11436141
173	11.11408075
174	11.11243176
175	11.11135338
176	11.1108157
177	11.11050816
178	11.10964498
179	11.1096292
180	11.10883828
181	11.10832656
182	11.10751662
183	11.1067212
184	11.10568962
185	11.10527936
186	11.10527855
187	11.10440188
188	11.10347922
189	11.10225418
190	11.10073522
191	11.09983721
192	11.0992513
193	11.09817825
194	11.09731638
195	11.09597077
196	11.09456798
197	11.09319247
198	11.09238345
199	11.09132195
200	11.09052752
201	11.08924598
202	11.08805653
203	11.08684718
204	11.08585656
205	11.08516369
206	11.08446203
207	11.08292778
208	11.08217551
209	11.08071768
210	11.07974549
211	11.07867594
212	11.07789826
213	11.07704475
214	11.0754719
215	11.07446776
216	11.07340807
217	11.07260589
218	11.07140906
219	11.07085671
220	11.06971831
221	11.06859745
222	11.06779957
223	11.06717258
224	11.06614537
225	11.06519524
226	11.06393816
227	11.06228758
228	11.06135014
229	11.05917484
230	11.05801445
231	11.05735497
232	11.05635288
233	11.0552241
234	11.05484282
235	11.05423263
236	11.05239548
237	11.05180482
238	11.05045243
239	11.04953395
240	11.048269
241	11.04742983
242	11.04651325
243	11.04557264
244	11.04523369
245	11.04393311
246	11.04316553
247	11.04224773
248	11.04145994
249	11.0406314
250	11.03978681
251	11.03834079
252	11.0376961
253	11.03703197
254	11.03620221
255	11.0354378
256	11.03476943
257	11.03382158
258	11.03309615
259	11.03256777
260	11.03120616
261	11.02967428
262	11.02814659
263	11.02712237
264	11.0265624
265	11.02535426
266	11.02490089
267	11.02428527
268	11.02333602
269	11.02236776
270	11.0215923
271	11.0205129
272	11.01959991
273	11.01865318
274	11.01809958
275	11.01741032
276	11.01668193
277	11.01569147
278	11.01459893
279	11.013596
280	11.01303455
281	11.01199569
282	11.01070599
283	11.00950688
284	11.0087345
285	11.00734568
286	11.00614028
287	11.00478983
288	11.00341329
289	11.00262768
290	11.00158813
291	11.00104603
292	10.99992314
293	10.99810971
294	10.99739034
295	10.99562726
296	10.99485016
297	10.99398921
298	10.99283436
299	10.99205729
300	10.9914749
301	10.99088726
302	10.99007701
303	10.98976262
304	10.98834658
305	10.98773381
306	10.98689127
307	10.9864864
308	10.98558493
309	10.98453761
310	10.98415705
311	10.98347718
312	10.98229878
313	10.98129263
314	10.98021427
315	10.97897789
316	10.97814761
317	10.97703903
318	10.97640852
319	10.97572385
320	10.97544266
321	10.97390174
322	10.97316873
323	10.97262251
324	10.97203179
325	10.97069226
326	10.96999992
327	10.96935465
328	10.96876635
329	10.96783815
330	10.9672311
331	10.96606711
332	10.96533643
333	10.96473519
334	10.96363132
335	10.96315483
336	10.96247661
337	10.96186863
338	10.96084591
339	10.95964302
340	10.95860854
341	10.95831744
342	10.95736794
343	10.95658681
344	10.95551197
345	10.95464032
346	10.95359972
347	10.95266095
348	10.95170234
349	10.9509334
350	10.95039154
351	10.94991752
352	10.94891268
353	10.9481238
354	10.946923
355	10.94634663
356	10.94582606
357	10.94514932
358	10.94479641
359	10.94385448
360	10.94299851
361	10.94222682
362	10.94164487
363	10.94099216
364	10.94023526
365	10.93927564
366	10.93840604
367	10.93806806
368	10.93674991
369	10.93600128
370	10.93539653
371	10.93443274
372	10.93332152
373	10.93228529
374	10.93083497
375	10.92935871
376	10.92861085
377	10.9281812
378	10.92753505
379	10.92626203
380	10.9254779
381	10.92459888
382	10.92414051
383	10.9229131
384	10.92259466
385	10.92128897
386	10.92023358
387	10.91939446
388	10.91855176
389	10.91805616
390	10.91729212
391	10.91687986
392	10.91491669
393	10.91428238
394	10.91376883
395	10.91297978
396	10.91218027
397	10.91129287
398	10.91092144
399	10.91034759
400	10.90953116
401	10.90884492
402	10.90768918
403	10.90659436
404	10.90607518
405	10.90545784
406	10.90387625
407	10.90300428
408	10.90238785
409	10.90152239
410	10.90107541
411	10.8999875
412	10.89945211
413	10.89898489
414	10.89851011
415	10.89779533
416	10.89716462
417	10.89525823
418	10.89444957
419	10.89397324
420	10.89372859
421	10.89253668
422	10.89202011
423	10.89162186
424	10.89023081
425	10.88943466
426	10.888191
427	10.88755379
428	10.88661891
429	10.88617894
430	10.88532304
431	10.88432205
432	10.88391353
433	10.88349234
434	10.88268169
435	10.88198655
436	10.8813901
437	10.88043008
438	10.87992417
439	10.87944484
440	10.87878678
441	10.87756871
442	10.87707767
443	10.87647352
444	10.87574147
445	10.87516401
446	10.87454401
447	10.87364406
448	10.87301783
449	10.87218879
450	10.87187321
451	10.87168508
452	10.87135267
453	10.87035089
454	10.86962062
455	10.86879965
456	10.86828034
457	10.86718002
458	10.86679414
459	10.86515306
460	10.86411948
461	10.86354996
462	10.86269987
463	10.86232174
464	10.86177465
465	10.86140235
466	10.86087875
467	10.86023554
468	10.85997241
469	10.85884985
470	10.85742283
471	10.85667736
472	10.85636185
473	10.85560547
474	10.85495026
475	10.85407517
476	10.85344072
477	10.85283326
478	10.8522002
479	10.85177758
480	10.85099205
481	10.8496856
482	10.84880461
483	10.84836962
484	10.84790438
485	10.84700841
486	10.84647104
487	10.8454168
488	10.84490321
489	10.84390491
490	10.84343487
491	10.84299372
492	10.8425177
493	10.84189156
494	10.84138289
495	10.84085128
496	10.84035544
497	10.83956957
498	10.83869946
499	10.83755271
500	10.83721871
501	10.83664621
502	10.83578364
503	10.83526765
504	10.83461841
505	10.83395148
506	10.83232364
507	10.83135002
508	10.83081601
509	10.83018077
510	10.82975662
511	10.82916962
512	10.82851057
513	10.82811222
514	10.82743374
515	10.8268536
516	10.82522954
517	10.82483514
518	10.82436501
519	10.82387259
520	10.82352059
521	10.82250641
522	10.82206033
523	10.82143045
524	10.82096974
525	10.82059326
526	10.82027421
527	10.81991645
528	10.81969533
529	10.81869369
530	10.81833696
531	10.81774182
532	10.81712653
533	10.81624762
534	10.81542533
535	10.81459645
536	10.81398208
537	10.81327668
538	10.81294476
539	10.81226371
540	10.81165132
541	10.81059976
542	10.80947499
543	10.80919248
544	10.80871322
545	10.80782561
546	10.80703474
547	10.80649001
548	10.80598078
549	10.80487227
