iter	Passed	Remaining
0	1	699
1	2	639
2	3	606
3	4	600
4	5	590
5	6	588
6	7	582
7	8	582
8	9	577
9	10	573
10	11	568
11	12	564
12	13	561
13	14	559
14	15	556
15	16	554
16	17	552
17	18	550
18	19	548
19	20	546
20	21	545
21	22	544
22	23	542
23	24	540
24	25	539
25	26	538
26	27	536
27	28	535
28	29	533
29	30	532
30	31	531
31	32	529
32	33	529
33	34	527
34	35	526
35	36	525
36	37	524
37	38	522
38	39	521
39	40	519
40	41	518
41	42	517
42	43	516
43	44	515
44	45	514
45	46	513
46	47	512
47	48	511
48	49	510
49	50	508
50	51	507
51	52	506
52	53	504
53	54	503
54	55	502
55	56	501
56	57	500
57	58	499
58	59	498
59	60	495
60	61	493
61	62	492
62	63	490
63	64	489
64	65	488
65	66	487
66	67	486
67	68	485
68	69	484
69	70	483
70	71	483
71	72	483
72	73	482
73	74	481
74	75	480
75	77	481
76	78	480
77	79	480
78	80	480
79	81	479
80	82	479
81	83	478
82	85	478
83	86	477
84	87	477
85	88	477
86	89	476
87	90	475
88	91	475
89	92	474
90	93	473
91	94	472
92	96	471
93	97	471
94	98	470
95	99	469
96	100	469
97	101	468
98	102	467
99	103	467
100	105	466
101	106	466
102	107	465
103	108	464
104	109	463
105	110	462
106	111	461
107	112	461
108	113	460
109	114	459
110	116	458
111	117	457
112	118	456
113	119	456
114	120	454
115	121	453
116	122	452
117	123	451
118	124	450
119	125	449
120	126	448
121	127	447
122	128	446
123	129	444
124	130	443
125	131	442
126	132	441
127	133	440
128	134	439
129	135	437
130	136	436
131	137	435
132	138	434
133	139	432
134	140	431
135	141	430
136	142	429
137	143	428
138	144	427
139	145	426
140	146	424
141	147	423
142	148	422
143	149	421
144	150	420
145	151	419
146	152	417
147	153	416
148	154	415
149	155	414
150	156	413
151	157	412
152	158	410
153	159	409
154	160	408
155	161	407
156	162	406
157	163	405
158	164	404
159	165	403
160	166	401
161	167	400
162	168	399
163	169	398
164	170	397
165	171	397
166	172	396
167	173	395
168	174	394
169	175	392
170	176	391
171	177	390
172	178	389
173	179	388
174	180	387
175	181	386
176	182	385
177	183	384
178	184	382
179	185	381
180	186	380
181	187	378
182	188	377
183	189	376
184	190	375
185	191	374
186	192	372
187	193	371
188	194	370
189	195	369
190	195	368
191	196	367
192	197	366
193	198	364
194	199	363
195	200	362
196	201	361
197	202	360
198	203	359
199	204	358
200	205	357
201	206	356
202	207	355
203	208	354
204	209	353
205	210	351
206	211	350
207	212	349
208	213	348
209	214	347
210	215	346
211	216	345
212	217	344
213	218	343
214	219	342
215	220	341
216	221	340
217	222	339
218	223	337
219	224	336
220	225	335
221	226	334
222	227	333
223	228	332
224	229	331
225	230	330
226	231	329
227	232	328
228	233	327
229	234	326
230	235	325
231	236	324
232	237	323
233	238	321
234	239	320
235	240	319
236	241	318
237	242	317
238	243	316
239	244	315
240	245	314
241	246	313
242	247	312
243	248	311
244	249	310
245	250	308
246	250	307
247	251	306
248	252	305
249	253	304
250	254	303
251	255	302
252	256	301
253	257	300
254	258	299
255	259	298
256	260	297
257	261	296
258	262	295
259	263	294
260	264	293
261	265	292
262	266	291
263	267	289
264	268	288
265	269	287
266	270	286
267	271	285
268	272	284
269	273	283
270	274	282
271	275	281
272	276	280
273	277	279
274	278	278
275	279	277
276	280	276
277	281	275
278	282	274
279	283	273
280	284	272
281	285	271
282	286	270
283	287	268
284	288	267
285	289	266
286	290	265
287	291	264
288	292	263
289	293	262
290	294	261
291	294	260
292	295	259
293	296	258
294	297	257
295	298	256
296	299	255
297	300	254
298	301	253
299	302	252
300	303	251
301	304	250
302	305	249
303	306	248
304	307	247
305	308	246
306	309	245
307	310	244
308	311	243
309	312	242
310	313	241
311	314	240
312	315	239
313	316	238
314	317	237
315	318	235
316	319	234
317	320	233
318	321	232
319	322	232
320	323	231
321	324	230
322	325	228
323	326	227
324	327	226
325	328	225
326	329	224
327	330	223
328	331	222
329	332	221
330	333	220
331	334	219
332	335	218
333	336	217
334	337	216
335	338	215
336	339	214
337	340	213
338	341	212
339	342	211
340	343	210
341	344	209
342	345	208
343	346	207
344	347	206
345	348	205
346	349	204
347	350	203
348	351	202
349	352	201
350	353	200
351	354	199
352	355	198
353	356	197
354	357	196
355	358	195
356	359	194
357	360	193
358	361	192
359	362	191
360	363	190
361	364	189
362	365	188
363	366	187
364	367	186
365	368	185
366	369	184
367	370	183
368	371	182
369	372	181
370	373	180
371	374	179
372	375	178
373	376	177
374	377	176
375	378	175
376	379	174
377	380	173
378	381	172
379	382	171
380	383	169
381	384	168
382	385	167
383	386	166
384	387	165
385	388	164
386	389	163
387	389	162
388	390	161
389	391	160
390	392	159
391	393	158
392	394	157
393	395	156
394	396	155
395	397	154
396	398	153
397	399	152
398	400	151
399	401	150
400	402	149
401	403	148
402	404	147
403	405	146
404	406	145
405	407	144
406	408	143
407	409	142
408	410	141
409	411	140
410	412	139
411	413	138
412	414	137
413	415	136
414	416	135
415	417	134
416	418	133
417	419	132
418	420	131
419	421	130
420	422	129
421	423	128
422	424	127
423	425	126
424	426	125
425	427	124
426	428	123
427	429	122
428	430	121
429	431	120
430	432	119
431	433	118
432	434	117
433	435	116
434	436	115
435	437	114
436	438	113
437	439	112
438	440	111
439	441	110
440	442	109
441	443	108
442	444	107
443	445	106
444	446	105
445	447	104
446	448	103
447	449	102
448	450	101
449	451	100
450	452	99
451	453	98
452	454	97
453	455	96
454	456	95
455	457	94
456	458	93
457	459	92
458	460	91
459	461	90
460	462	89
461	463	88
462	464	87
463	465	86
464	466	85
465	466	84
466	467	83
467	468	82
468	469	81
469	470	80
470	471	79
471	472	78
472	473	77
473	474	76
474	475	75
475	476	74
476	477	73
477	478	72
478	479	71
479	480	70
480	481	69
481	482	68
482	483	67
483	484	66
484	485	65
485	486	64
486	487	63
487	488	62
488	489	61
489	490	60
490	491	59
491	492	58
492	493	57
493	494	56
494	495	55
495	496	54
496	497	53
497	498	52
498	499	51
499	500	50
500	501	49
501	502	48
502	503	47
503	504	46
504	505	45
505	506	44
506	507	43
507	508	42
508	509	41
509	510	40
510	511	39
511	512	38
512	513	37
513	514	36
514	515	35
515	516	34
516	517	33
517	518	32
518	519	31
519	520	30
520	521	29
521	522	28
522	523	27
523	524	26
524	525	25
525	526	24
526	527	23
527	528	22
528	528	20
529	529	19
530	530	18
531	531	17
532	532	16
533	533	15
534	534	14
535	535	13
536	536	12
537	537	11
538	538	10
539	539	9
540	540	8
541	541	7
542	542	6
543	543	5
544	544	4
545	545	3
546	546	2
547	547	1
548	548	0
549	549	0
